,mileage,engine,power,PCA1,PCA2,clusters
29,12.8,2494.0,102.0,1.4371889612846553,-0.7924351860073156,2
30,19.01,1461.0,108.45,-0.3006959458302972,0.0357649687890995,6
31,14.53,1798.0,138.1,0.9109306744064171,-0.42546535897308696,0
32,11.18,2696.0,184.0,2.747571120163102,-0.2879606362818326,2
33,12.4,2698.0,179.5,2.5541456989826634,-0.0911713830319073,2
34,16.09,1598.0,103.5,0.13473133725360437,-0.5166157689489772,0
35,14.0,1061.0,64.0,-0.6083492961977881,-1.4992179104007195,3
36,24.3,1248.0,88.5,-1.3734115066844415,0.7924603005189864,1
37,18.15,1198.0,82.0,-0.7628396147302701,-0.47736427273245496,3
38,11.74,2987.0,254.8,3.765651236065806,0.5756049218209411,4
39,22.07,1199.0,73.9,-1.3195215951424855,0.2095699608404959,6
40,19.7,796.0,46.3,-1.7588533006603226,-0.6647476805779294,3
41,25.4,624.0,37.5,-2.714647817126495,0.28823671406285306,1
42,25.32,1198.0,77.0,-1.674240602810876,0.8661532094925765,1
43,18.5,1197.0,82.9,-0.7956924669949574,-0.40196278905967836,3
44,14.62,1999.0,149.92,1.2388833168855704,-0.21824510293229052,5
45,14.28,1798.0,138.03,0.940002929824126,-0.4744966366502794,0
46,14.9,1991.0,112.2,0.779437301799929,-0.5048709291266407,0
47,11.25,2694.0,163.7,2.5123250912537296,-0.45687496059156385,2
48,24.4,1120.0,71.0,-1.7114871134512861,0.601727533892958,1
49,16.55,2498.0,105.0,1.0268364147792284,-0.03784628703289211,2
50,17.11,1968.0,174.33,1.1798938044824367,0.46931265246091136,5
51,22.9,1248.0,74.0,-1.366852035558369,0.391655706853827,1
52,17.8,1248.0,75.0,-0.7468880869474148,-0.5868581532600686,3
53,28.4,1248.0,74.0,-2.023497052053618,1.4565648722054072,1
54,18.9,1197.0,82.0,-0.8534159081784357,-0.33256747910683077,3
55,15.04,1598.0,103.2,0.25676836040808954,-0.7226008193888224,0
56,25.17,799.0,53.3,-2.331290710261638,0.4582387285780388,1
57,20.36,1197.0,78.9,-1.0620576058347901,-0.0776193350801491,6
58,13.29,1995.0,147.6,1.3678430107875326,-0.49818976031323514,5
59,18.2,998.0,67.1,-1.1405838610417973,-0.6846175445534793,3
60,13.68,2393.0,147.8,1.734944793408731,-0.2544877079540103,2
61,20.0,1399.0,68.0,-0.9309681557321888,-0.16039407233414074,6
62,11.74,1796.0,186.0,1.7724505061821185,-0.5379220921994038,5
63,15.8,2148.0,170.0,1.474422662942234,0.25218521730423366,5
64,25.0,1396.0,69.0,-1.5199446110089507,0.8153982571579098,1
65,16.55,1968.0,140.0,0.8665497454456477,0.053722464744119056,5
66,16.4,1497.0,78.0,-0.28910327429797245,-0.7269787958740819,0
67,0.0,1950.0,194.0,3.4218924525321412,-2.6750539290522566,2
68,24.52,1248.0,88.5,-1.3996773073442514,0.8350566671330494,1
69,22.1,1396.0,88.7,-0.955537415998866,0.4301638062511947,6
70,8.5,4806.0,500.0,8.748514685351083,2.902681106085467,4
71,15.1,2179.0,140.0,1.2577951927440525,-0.13880878533026694,5
72,16.95,1197.0,78.9,-0.6549376956077358,-0.7378630175981289,3
73,19.64,1461.0,108.5,-0.37535790105398487,0.15819284148088605,6
74,16.5,1198.0,86.8,-0.5126864298679681,-0.7538896658288682,3
75,18.53,1968.0,187.74,1.1588748559826392,0.864237014217053,5
76,12.4,1998.0,132.0,1.3044325273335902,-0.8088360562303453,2
77,12.8,2494.0,102.0,1.4371889612846553,-0.7924351860073156,2
78,22.9,1248.0,74.0,-1.366852035558369,0.391655706853827,1
79,17.57,1193.0,88.7,-0.6245603157719276,-0.5318068957144988,3
80,18.0,1198.0,86.7,-0.6928789276982082,-0.46435463005419414,3
81,20.0,1399.0,68.0,-0.9309681557321888,-0.16039407233414074,6
82,23.2,1248.0,73.94,-1.4033335324570315,0.4492048193711863,1
83,17.8,1497.0,117.3,-0.021004399203119865,-0.10427952691210948,0
84,16.73,1995.0,218.0,1.73681670587184,0.7977570797850057,5
85,20.36,1197.0,78.9,-1.0620576058347901,-0.0776193350801491,6
86,18.9,1197.0,82.0,-0.8534159081784357,-0.33256747910683077,3
87,17.8,1198.0,86.7,-0.6690009270983811,-0.5030785997033423,3
88,13.0,2982.0,168.5,2.6542841311772687,0.045317787248013205,2
89,17.68,1968.0,174.33,1.1118415027729291,0.5796759659609843,5
90,22.7,1498.0,89.84,-0.909099291539856,0.5991811533551237,6
91,15.1,2179.0,140.0,1.2577951927440525,-0.13880878533026694,5
92,25.8,1498.0,98.6,-1.1821918849946258,1.277781608545959,1
93,22.07,1199.0,73.9,-1.3195215951424855,0.2095699608404959,6
94,16.2,1493.0,110.0,0.08503742759811693,-0.481059425697555,0
95,18.9,998.0,67.1,-1.2241568631411925,-0.5490836507814602,3
96,15.26,1598.0,103.5,0.2338250397428874,-0.6773202429929429,0
97,23.0,1396.0,90.0,-1.0485910053881202,0.616053245393566,6
98,18.5,1197.0,82.85,-0.7962462136607256,-0.4024101573566478,3
99,19.83,1198.0,67.0,-1.129538819499217,-0.28629341677042297,3
100,14.94,2967.0,241.4,3.214523296066477,1.0669318814458766,4
101,17.0,1197.0,80.0,-0.6487247691107969,-0.7183399226525153,3
102,14.0,796.0,35.0,-1.2034770300288131,-1.8694860506937383,3
103,17.71,1197.0,78.9,-0.7456740978870795,-0.5907119329313647,3
104,14.74,2993.0,270.9,3.5919904006385726,1.3030256135343998,4
105,16.0,2179.0,140.0,1.15034419004483,0.03544907809090088,5
106,22.32,1582.0,126.32,-0.3728790623555183,0.8871252954199054,6
107,11.36,2755.0,171.5,2.648637933911258,-0.3402836768776956,2
108,15.1,1196.0,73.0,-0.5004420878187709,-1.1492672884538204,3
109,25.4,624.0,37.5,-2.714647817126495,0.28823671406285306,1
110,22.69,1995.0,190.0,0.7151541551669114,1.7012051290267738,5
111,13.5,1799.0,130.0,0.9452292088399259,-0.6969493742165584,0
112,12.99,2494.0,100.6,1.3989999540733156,-0.7681737271557675,2
113,23.3,1984.0,150.0,0.18795721753609385,1.4568195807356676,6
114,19.15,1198.0,75.94,-0.9493437136204872,-0.3379654620794021,3
115,10.8,2497.0,215.0,2.9305378055150353,-0.16736825367195204,2
116,24.3,1248.0,88.5,-1.3734115066844415,0.7924603005189864,1
117,15.0,2143.0,107.3,0.8703673904744101,-0.46580096848537467,0
118,22.0,1582.0,126.2,-0.33600325339363774,0.8240932600685414,6
119,18.9,998.0,67.1,-1.2241568631411925,-0.5490836507814602,3
120,21.9,624.0,37.48,-2.2970043052958253,-0.38961170211603124,1
121,12.05,2179.0,120.0,1.40043603558422,-0.9082966412675317,2
122,11.7,1796.0,178.0,1.6886266397792051,-0.6172458136443347,5
123,26.6,998.0,58.16,-2.2424697900738595,0.8617997292126275,1
124,10.8,2354.0,152.0,2.084984865217026,-0.7908395437449238,2
125,21.21,1498.0,103.2,-0.5832470779779351,0.43022438841918714,6
126,20.73,1373.0,91.1,-0.789170469505897,0.17676216355936816,6
127,16.0,2179.0,140.0,1.15034419004483,0.03544907809090088,5
128,21.1,1197.0,85.8,-1.073989168178168,0.12739617760347474,6
129,24.07,998.0,67.1,-1.841403178646727,0.4519309646490257,1
130,19.0,2996.0,362.07,4.096192031820055,2.9448317974312763,4
131,17.0,1591.0,121.3,0.21598370914610157,-0.1840852412350277,0
132,19.7,796.0,46.3,-1.7588533006603226,-0.6647476805779294,3
133,20.58,1995.0,143.0,0.44654519567317436,0.87214105007704,5
134,19.0,1199.0,88.7,-0.789085272867811,-0.2524219573709949,3
135,13.5,1799.0,130.0,0.9452292088399259,-0.6969493742165584,0
136,19.27,2143.0,170.0,1.0549703965411636,0.9219556279235468,5
137,25.8,1498.0,98.6,-1.1821918849946258,1.277781608545959,1
138,22.0,1197.0,81.8,-1.22573990413883,0.2658645772670918,6
139,11.5,2982.0,171.0,2.8610564689643727,-0.22274357027213068,2
140,18.6,1199.0,76.8,-0.8731209781209396,-0.43634355134800407,3
141,21.14,1498.0,103.52,-0.5713457991070805,0.41953415614258915,6
142,20.73,1373.0,91.1,-0.789170469505897,0.17676216355936816,6
143,11.05,2894.0,444.0,5.8472651399116415,2.0959662543060738,4
144,21.76,1995.0,190.0,0.8261868579561079,1.5211386701582341,5
145,17.11,1968.0,174.33,1.1798938044824367,0.46931265246091136,5
146,22.9,1248.0,74.0,-1.366852035558369,0.391655706853827,1
147,7.81,5461.0,362.9,7.989653665107516,1.8162501664426902,4
148,21.66,1498.0,103.52,-0.6334286006666312,0.5202164772303749,6
149,17.2,1968.0,138.1,0.7679038701970254,0.16257537081901444,5
150,21.1,814.0,55.2,-1.8088241567737666,-0.30652267011706125,3
151,22.07,1199.0,73.9,-1.3195215951424855,0.2095699608404959,6
152,20.63,1198.0,67.06,-1.2243863258996044,-0.13086069621746607,3
153,19.4,1198.0,86.8,-0.8589174385654629,-0.19239210591621714,3
154,14.8,1595.0,120.7,0.47613192055023945,-0.6137449567045634,0
155,26.0,1498.0,98.6,-1.206069885594453,1.3165055781951074,1
156,12.99,2494.0,100.6,1.3989999540733156,-0.7681737271557675,2
157,20.4,1197.0,81.8,-1.034715899340212,-0.04392717992609555,6
158,15.1,2179.0,140.0,1.2577951927440525,-0.13880878533026694,5
159,22.7,1498.0,89.84,-0.909099291539856,0.5991811533551237,6
160,13.0,2982.0,168.5,2.6542841311772687,0.045317787248013205,2
161,21.5,1498.0,108.5,-0.5591730322762772,0.5337951838892065,6
162,20.0,1399.0,68.0,-0.9309681557321888,-0.16039407233414074,6
163,15.3,2993.0,258.0,3.382265359190914,1.2960317079339154,4
164,19.27,2143.0,167.62,1.0286120552506073,0.9006608969878044,5
165,19.4,1198.0,86.8,-0.8589174385654629,-0.19239210591621714,3
166,20.36,1197.0,78.9,-1.0620576058347901,-0.0776193350801491,6
167,17.9,2143.0,170.0,1.2185347006499805,0.6566964358268803,5
168,18.9,1197.0,81.86,-0.8549663988425862,-0.333820110338345,3
169,17.68,1968.0,174.33,1.1118415027729291,0.5796759659609843,5
170,14.4,1598.0,103.6,0.3376079356536804,-0.842938575890342,0
171,16.6,1998.0,112.0,0.5814958484300202,-0.1745800123859817,0
172,22.54,1396.0,88.73,-1.0077367693190247,0.5156249604575023,6
173,17.68,1968.0,174.33,1.1118415027729291,0.5796759659609843,5
174,25.44,936.0,57.6,-2.1742744035779022,0.6062684416832147,1
175,13.7,1798.0,157.75,1.227646816542522,-0.4103540923080859,5
176,17.8,1399.0,68.0,-0.6683101491340893,-0.5863577384747727,3
177,22.48,1995.0,190.0,0.7402260557967301,1.6605449608951681,5
178,12.9,1598.0,102.5,0.5045105135054889,-1.1432104507922813,0
179,22.07,1199.0,73.9,-1.3195215951424855,0.2095699608404959,6
180,19.98,1461.0,108.5,-0.41595050207369116,0.22402358988443824,6
181,13.0,2143.0,201.1,2.14797614145344,-0.013777739862299715,5
182,21.4,1197.0,83.1,-1.1397084890293803,0.1613242440408502,6
183,22.32,1582.0,126.32,-0.3728790623555183,0.8871252954199054,6
184,19.81,1086.0,68.05,-1.231306953725223,-0.32759744607138497,3
185,15.4,1997.0,120.0,0.8123295273530493,-0.3357629953244533,0
186,12.7,2179.0,187.7,2.0726055190846457,-0.1767070658112583,5
187,20.0,1399.0,68.0,-0.9309681557321888,-0.16039407233414074,6
188,25.47,1248.0,88.5,-1.5130978101934307,1.018995522966504,1
189,25.8,1498.0,98.6,-1.1821918849946258,1.277781608545959,1
190,20.36,1197.0,78.9,-1.0620576058347901,-0.0776193350801491,6
191,25.8,1498.0,98.6,-1.1821918849946258,1.277781608545959,1
192,17.5,1896.0,106.0,0.30214854355965726,-0.09665178558672236,0
193,19.87,1461.0,83.8,-0.6763684546331755,-0.018274532125467466,6
194,17.45,1493.0,100.0,-0.1749494093044022,-0.3285082747842539,0
195,24.3,1248.0,88.5,-1.3734115066844415,0.7924603005189864,1
196,18.6,1197.0,81.83,-0.8194816459423063,-0.39217448579024866,3
197,14.7,1390.0,85.0,-0.1192313942649707,-1.038236880095123,0
198,15.64,1193.0,64.1,-0.6665809695414482,-1.1255984049377161,3
199,15.73,1968.0,174.33,1.3446520086212446,0.20211726188178775,5
200,14.7,1798.0,177.5,1.3269867465217435,-0.04002376675943855,5
201,23.59,1364.0,67.06,-1.4061713957739999,0.5116574193311719,1
202,14.8,1595.0,120.7,0.47613192055023945,-0.6137449567045634,0
203,27.4,1498.0,98.6,-1.3732158897932434,1.5875733657391455,1
204,22.32,1582.0,126.32,-0.3728790623555183,0.8871252954199054,6
205,20.46,1461.0,83.8,-0.7468085564026659,0.09596117833952024,6
206,15.29,1591.0,121.3,0.4201406142746245,-0.5151751817352463,0
207,20.51,998.0,67.0,-1.4174822613013383,-0.238250431699754,3
208,11.74,1796.0,186.0,1.7724505061821185,-0.5379220921994038,5
209,11.8,2967.0,246.7,3.648105052055172,0.5063865974330021,4
210,19.81,1086.0,68.05,-1.231306953725223,-0.32759744607138497,3
211,14.3,1598.0,103.52,0.3486609412883652,-0.8630163499900672,0
212,14.67,1798.0,177.46,1.3301254492791033,-0.04619025684438611,5
213,17.19,1197.0,81.86,-0.6508094937140635,-0.6649100508385631,3
214,25.8,1498.0,98.6,-1.1821918849946258,1.277781608545959,1
215,18.9,998.0,67.1,-1.2241568631411925,-0.5490836507814602,3
216,21.03,1461.0,65.0,-1.0230696044409393,0.03811401217910592,6
217,19.27,2143.0,167.62,1.0286120552506073,0.9006608969878044,5
218,22.5,998.0,67.04,-1.6546253699370046,0.14741096094684764,1
219,19.01,1461.0,108.5,-0.3001421991645292,0.03621233708606886,6
220,16.82,1998.0,189.08,1.4088859077181506,0.5576793208360792,5
221,17.2,1396.0,53.5,-0.7603640540037664,-0.8335207312193851,3
222,18.6,1199.0,76.8,-0.8731209781209396,-0.43634355134800407,3
223,22.07,1199.0,73.9,-1.3195215951424855,0.2095699608404959,6
224,22.9,1248.0,74.0,-1.366852035558369,0.391655706853827,1
225,20.0,1399.0,68.05,-0.9304144090664209,-0.1599467040371714,6
226,11.36,2755.0,171.5,2.648637933911258,-0.3402836768776956,2
227,11.72,2199.0,194.3,2.2833781058814453,-0.2990400507184826,2
228,17.4,1497.0,117.3,0.02675160199653488,-0.18172746621040667,0
229,18.6,1197.0,81.83,-0.8194816459423063,-0.39217448579024866,3
230,19.27,2143.0,167.62,1.0286120552506073,0.9006608969878044,5
231,25.44,936.0,57.6,-2.1742744035779022,0.6062684416832147,1
232,22.54,1396.0,88.73,-1.0077367693190247,0.5156249604575023,6
233,12.99,2494.0,100.6,1.3989999540733156,-0.7681737271557675,2
234,20.77,1248.0,88.76,-0.9490853134354971,0.11130855135575829,6
235,12.8,2494.0,102.0,1.4371889612846553,-0.7924351860073156,2
236,17.8,1497.0,117.3,-0.021004399203119865,-0.10427952691210948,0
237,17.05,1995.0,184.0,1.3220641721898803,0.5555049892844641,5
238,24.0,1120.0,70.0,-1.6748060455669918,0.5153322286552738,1
239,28.09,1248.0,88.5,-1.8258996180511675,1.5262795253703476,1
240,20.5,1598.0,103.6,-0.3906710826410503,0.33814249840868327,6
241,13.1,1493.0,82.0,0.14504830406536232,-1.3318072015622082,0
242,19.91,1498.0,103.6,-0.42361010075291416,0.18209753207547752,6
243,18.7,1199.0,88.7,-0.7532682719680702,-0.31050791184471754,3
244,19.81,1086.0,68.05,-1.231306953725223,-0.32759744607138497,3
245,16.38,1995.0,183.0,1.390980540883942,0.4168323250204291,5
246,13.68,2393.0,147.8,1.734944793408731,-0.2544877079540103,2
247,19.7,796.0,35.0,-1.8840000471238894,-0.7658529156930095,3
248,20.4,1197.0,81.8,-1.034715899340212,-0.04392717992609555,6
249,18.9,1197.0,82.0,-0.8534159081784357,-0.33256747910683077,3
250,22.9,1248.0,74.0,-1.366852035558369,0.391655706853827,1
251,22.0,1582.0,126.2,-0.33600325339363774,0.8240932600685414,6
252,17.0,1197.0,80.0,-0.6487247691107969,-0.7183399226525153,3
253,11.57,2987.0,254.79,3.785836787242505,0.5426000739597705,4
254,15.8,2148.0,170.0,1.474422662942234,0.25218521730423366,5
255,23.2,1248.0,73.94,-1.4033335324570315,0.4492048193711863,1
256,19.67,1582.0,126.2,-0.05782454640565064,0.3729590136559633,6
257,19.0,998.0,66.1,-1.2471707967564662,-0.5386690318962734,3
258,19.64,1461.0,108.45,-0.37591164771975283,0.1577454731839167,6
259,17.8,1248.0,76.0,-0.7358131536320549,-0.5779107873206809,3
260,16.55,2993.0,258.0,3.233027855441994,1.5380565182410928,4
261,20.36,1197.0,78.9,-1.0620576058347901,-0.0776193350801491,6
262,12.8,2494.0,102.0,1.4371889612846553,-0.7924351860073156,2
263,17.3,993.0,60.0,-1.116933840875698,-0.9244921689377097,3
264,28.4,1248.0,74.0,-2.023497052053618,1.4565648722054072,1
265,12.05,2179.0,120.0,1.40043603558422,-0.9082966412675317,2
266,22.95,1248.0,74.0,-1.372821535708326,0.40133669926611426,1
267,18.88,999.0,123.24,-0.5989885155580925,-0.05023283135047188,3
268,23.4,1248.0,74.0,-1.4265470370579372,0.48846563097669793,1
269,22.74,796.0,47.3,-2.110723976462337,-0.0671959759714866,1
270,17.0,1497.0,118.0,0.08226005651694113,-0.2529122493511317,0
271,12.07,2967.0,241.4,3.557172604673997,0.5112429169805979,4
272,17.0,1896.0,105.0,0.3507686117438654,-0.20240907564898092,0
273,17.1,1591.0,121.3,0.20404470884618778,-0.16472325641045324,0
274,16.8,1497.0,118.0,0.10613805711676827,-0.2916362190002799,0
275,21.9,1396.0,88.8,-0.9305519220675024,0.3923345731959844,6
276,15.0,1396.0,98.6,0.0017734451170640035,-0.8559581934936356,0
277,20.54,1598.0,103.6,-0.3954466827610157,0.34588729233851284,6
278,17.4,1497.0,117.3,0.02675160199653488,-0.18172746621040667,0
279,22.95,1248.0,74.0,-1.372821535708326,0.40133669926611426,1
280,18.48,1995.0,177.0,1.0738119346935964,0.7697498107001616,5
281,18.9,1061.0,67.0,-1.1601355109474756,-0.5236385561784216,3
282,18.2,1199.0,88.7,-0.693573270468502,-0.4073178359675885,3
283,15.0,1896.0,105.0,0.5895486177421378,-0.5896487721404646,0
284,20.36,1197.0,78.9,-1.0620576058347901,-0.0776193350801491,6
285,19.27,2143.0,170.0,1.0549703965411636,0.9219556279235468,5
286,20.36,1197.0,78.9,-1.0620576058347901,-0.0776193350801491,6
287,13.68,2393.0,147.8,1.734944793408731,-0.2544877079540103,2
288,17.68,1968.0,174.33,1.1118415027729291,0.5796759659609843,5
289,12.99,2494.0,100.6,1.3989999540733156,-0.7681737271557675,2
290,16.47,1198.0,73.9,-0.6519713695461362,-0.875119281894341,3
291,20.92,998.0,67.1,-1.4653246691994481,-0.15797155732506102,3
292,18.0,1497.0,117.3,-0.04488239980294702,-0.06555555726296124,0
293,17.0,1405.0,70.0,-0.5444455329111793,-0.720850329840498,3
294,17.68,1968.0,174.33,1.1118415027729291,0.5796759659609843,5
295,17.9,2143.0,136.0,0.8419869679277442,0.3524859938877012,5
296,23.1,998.0,67.04,-1.7262593717364867,0.2635828698942931,1
297,17.9,2143.0,201.15,1.5635188734234409,0.9354068848388046,5
298,12.7,2179.0,187.7,2.0726055190846457,-0.1767070658112583,5
299,20.54,1598.0,103.6,-0.3954466827610157,0.34588729233851284,6
300,14.0,796.0,35.0,-1.2034770300288131,-1.8694860506937383,3
301,18.5,1198.0,86.8,-0.7514664358662404,-0.36664996933738453,3
302,14.07,2956.0,83.1,1.5538589516673063,-0.5224844328784825,2
303,18.0,1248.0,75.0,-0.770766087547242,-0.5481341836109204,3
304,18.9,998.0,67.1,-1.2241568631411925,-0.5490836507814602,3
305,16.0,2179.0,140.0,1.15034419004483,0.03544907809090088,5
306,17.1,1396.0,70.0,-0.5656886540004149,-0.7052511780440631,3
307,16.02,1373.0,93.7,-0.19804872876002963,-0.7119241702356683,0
308,11.7,2354.0,177.6,2.261052155391017,-0.3875291122754335,2
309,19.3,1248.0,73.9,-0.9381555180930149,-0.3062704834247821,3
310,17.8,1399.0,68.0,-0.6683101491340893,-0.5863577384747727,3
311,17.7,1497.0,78.0,-0.44431027819684965,-0.4752729931546173,3
312,17.68,1968.0,174.33,1.1118415027729291,0.5796759659609843,5
313,9.52,2993.0,313.0,4.681460908870716,0.6690141117398464,4
314,14.75,2967.0,245.0,3.277077156571609,1.0623546276609817,4
315,26.3,998.0,67.1,-2.107642885334801,0.8837032262370302,1
316,23.0,1396.0,90.0,-1.0485910053881202,0.616053245393566,6
317,16.95,1197.0,78.9,-0.6549376956077358,-0.7378630175981289,3
318,19.0,1199.0,88.7,-0.789085272867811,-0.2524219573709949,3
319,25.2,1248.0,74.0,-1.6414490424563823,0.8369813578190333,1
320,18.5,1197.0,82.85,-0.7962462136607256,-0.4024101573566478,3
321,16.47,1198.0,73.9,-0.6519713695461362,-0.875119281894341,3
322,19.7,796.0,46.3,-1.7588533006603226,-0.6647476805779294,3
323,11.3,1794.0,125.0,1.1473435928671583,-1.1697403328475393,0
324,19.7,796.0,46.3,-1.7588533006603226,-0.6647476805779294,3
325,21.12,1248.0,88.8,-0.9904288171525806,0.17943339287934365,6
326,19.7,796.0,46.3,-1.7588533006603226,-0.6647476805779294,3
327,19.3,1968.0,141.0,0.549302170513383,0.5951244133592969,5
328,11.3,1794.0,125.0,1.1473435928671583,-1.1697403328475393,0
329,18.6,1197.0,81.83,-0.8194816459423063,-0.39217448579024866,3
330,24.3,1248.0,88.5,-1.3734115066844415,0.7924603005189864,1
331,17.0,1497.0,118.0,0.08226005651694113,-0.2529122493511317,0
332,18.0,1248.0,75.0,-0.770766087547242,-0.5481341836109204,3
333,25.8,1498.0,98.6,-1.1821918849946258,1.277781608545959,1
334,21.1,814.0,55.2,-1.8088241567737666,-0.30652267011706125,3
335,21.76,1995.0,190.0,0.8261868579561079,1.5211386701582341,5
336,22.32,1582.0,126.32,-0.3728790623555183,0.8871252954199054,6
337,21.02,1248.0,88.8,-0.9784898168526668,0.16007140805476913,6
338,14.45,1984.0,227.0,2.0973286093611607,0.43223110109369856,5
339,24.07,998.0,67.1,-1.841403178646727,0.4519309646490257,1
340,22.7,1498.0,89.84,-0.909099291539856,0.5991811533551237,6
341,18.0,995.0,62.0,-1.1762893939467463,-0.770227358169551,3
342,19.33,1999.0,177.0,0.976465596939585,0.9359990519437705,5
343,13.1,1997.0,141.1,1.3206076272051563,-0.592299224968581,2
344,14.67,1798.0,177.46,1.3301254492791033,-0.04619025684438611,5
345,20.36,1197.0,78.9,-1.0620576058347901,-0.0776193350801491,6
346,22.9,1248.0,74.0,-1.366852035558369,0.391655706853827,1
347,18.5,1197.0,83.14,-0.793034482999271,-0.3998154212342253,3
348,23.08,1461.0,63.1,-1.2888614838883519,0.4180347057980398,1
349,23.4,1248.0,74.0,-1.4265470370579372,0.48846563097669793,1
350,17.8,1399.0,67.0,-0.6793850824494492,-0.5953051044141603,3
351,17.3,993.0,60.0,-1.116933840875698,-0.9244921689377097,3
352,13.8,1998.0,192.0,1.8017825220563928,-0.0009263123230494206,5
353,23.59,1364.0,67.05,-1.4062821451071534,0.511567945671778,1
354,24.7,796.0,47.3,-2.344728382340644,0.3122989265901674,1
355,18.9,796.0,47.0,-1.6555888449402616,-0.8133804030169517,3
356,11.0,2993.0,235.0,3.6409189058339226,0.25767694387130974,4
357,11.07,2496.0,179.5,2.5041085808111796,-0.4331404780525446,2
358,18.9,1197.0,82.0,-0.8534159081784357,-0.33256747910683077,3
359,24.3,1248.0,88.5,-1.3734115066844415,0.7924603005189864,1
360,12.07,2967.0,241.4,3.557172604673997,0.5112429169805979,4
361,17.9,2143.0,136.0,0.8419869679277442,0.3524859938877012,5
362,16.1,796.0,37.0,-1.4320461696962794,-1.4449896374989046,3
363,20.45,1461.0,83.8,-0.7456146563726743,0.0940249798570625,6
364,21.43,1364.0,87.2,-0.9252398323245177,0.27363849713963617,6
365,15.8,2148.0,170.0,1.474422662942234,0.25218521730423366,5
366,21.1,1248.0,73.9,-1.15305752349146,0.04224524341755336,6
367,16.0,1497.0,117.3,0.1938976061953254,-0.45279525375444496,0
368,24.4,1120.0,71.0,-1.7114871134512861,0.601727533892958,1
369,14.21,2143.0,203.0,2.0245566111236686,0.23750227179988448,5
370,14.8,1595.0,120.7,0.47613192055023945,-0.6137449567045634,0
371,15.0,2143.0,204.0,1.9413134420697113,0.3994093178534081,5
372,17.8,1497.0,117.3,-0.021004399203119865,-0.10427952691210948,0
373,17.0,1497.0,118.0,0.08226005651694113,-0.2529122493511317,0
374,16.2,1599.0,103.2,0.11930974812790508,-0.4975837028650797,0
375,13.5,1999.0,246.74,2.4448751638377475,0.4311846372839884,5
376,18.0,1198.0,86.7,-0.6928789276982082,-0.46435463005419414,3
377,18.86,1598.0,122.0,0.008907295280155068,0.18523748057039868,0
378,13.5,2987.0,282.0,3.8567630169651155,1.1597442082847895,4
379,21.1,814.0,55.2,-1.8088241567737666,-0.30652267011706125,3
380,20.51,998.0,67.04,-1.4170392639687237,-0.23789253706217844,3
381,21.1,1248.0,73.9,-1.15305752349146,0.04224524341755336,6
382,16.07,1995.0,181.0,1.4058415751829543,0.33891544018547415,5
383,13.49,2179.0,138.03,1.4281954789414026,-0.46816305190650487,2
384,20.38,1968.0,143.0,0.44251083390503587,0.822128581343473,5
385,12.7,2179.0,187.7,2.0726055190846457,-0.1767070658112583,5
386,12.0,2987.0,224.0,3.393501889172946,0.3503672114316951,4
387,13.5,2477.0,175.56,2.150713603483303,-0.005840627231540421,2
388,19.7,796.0,46.3,-1.7588533006603226,-0.6647476805779294,3
389,14.0,1061.0,64.0,-0.6083492961977881,-1.4992179104007195,3
